OBJECTID,EACODE,SecTer_in_180,LISA_I_secter,LISA_CL_secter,LISA_P_secter,MORAN_STD_secter,MORAN_LAG_secter
385,30804021,1,0.056888293,0,0.316,-0.173621657,-0.327656664
386,20610038,0,0.185198256,2,0.009,-0.430346669,-0.430346669
387,31003009,0,0.185198256,2,0.016,-0.430346669,-0.430346669
388,31020702,1,0.03014448,0,0.421,-0.173621657,-0.173621657
389,20205019,0,0.148371338,0,0.404,-0.430346669,-0.344771665
390,10402001,0,0.169415291,0,0.076,-0.430346669,-0.393671668
391,30302060,0,0.185198256,2,0.021,-0.430346669,-0.430346669
392,20686008,20,21.92778192,1,0.001,4.70415358,4.661366078
393,30301011,1,0.03014448,0,0.428,-0.173621657,-0.173621657
394,30404029,0,0.185198256,2,0.008,-0.430346669,-0.430346669
395,30902804,0,0.185198256,2,0.045,-0.430346669,-0.430346669
396,20105018,1,0.037573317,0,0.497,-0.173621657,-0.216409159
397,30702012,2,0.006906168,0,0.368,0.083103356,0.083103356
398,20820706,1,0.03014448,0,0.423,-0.173621657,-0.173621657
399,20107016,0,0.185198256,2,0.007,-0.430346669,-0.430346669
400,20112803,0,0.185198256,2,0.049,-0.430346669,-0.430346669
401,30210022,0,0.185198256,2,0.035,-0.430346669,-0.430346669
